会员卡号,性别,年龄,会员卡注册时间,会员卡级别
1010010011152510,M,37.0,2015-06-24 00:00:00,缤纷卡
1010010011158958,F,28.0,2015-07-31 00:00:00,缤纷卡
1000011814900097,F,-1.0,2018-05-29 12:24:09,预享卡
06900014086,F,18.0,2017-05-31 13:03:15,预享卡
1010010018020856,M,39.0,2009-06-08 00:00:00,璀璨卡
1010010011190513,F,36.0,2013-03-31 00:00:00,缤纷卡
1010010011151997,F,27.0,2015-07-18 00:00:00,缤纷卡
1010010018051678,F,31.0,2011-10-30 00:00:00,璀璨卡
1010010018037633,F,32.0,2015-08-26 00:00:00,璀璨卡
1010010011194154,F,28.0,2015-04-22 00:00:00,缤纷卡
1010010011338439,F,37.0,2017-07-16 00:00:00,缤纷卡
0519052698,U,50.0,2017-05-21 14:22:07,预享卡
1010010011236811,M,31.0,2013-07-08 00:00:00,缤纷卡
1010010011100841,F,49.0,2015-09-06 00:00:00,缤纷卡
1010010011134170,F,38.0,2016-11-19 00:00:00,缤纷卡
1010010018048586,M,31.0,2016-11-05 00:00:00,璀璨卡
1010010011246156,F,36.0,2009-04-09 00:00:00,璀璨卡
1010020018015828,F,62.0,2014-07-07 00:00:00,璀璨卡
1010020011239990,F,33.0,2016-12-30 00:00:00,璀璨卡
1000011820100649,F,23.0,2018-07-20 15:50:11,预享卡
1010010011142634,F,36.0,2013-11-16 00:00:00,缤纷卡
1010010011122597,F,26.0,2016-03-06 00:00:00,缤纷卡
1010010011116329,F,34.0,2010-06-24 00:00:00,缤纷卡
1000011817800034,F,29.0,2018-06-27 10:48:59,璀璨卡
1010010018035702,F,36.0,2016-11-27 00:00:00,缤纷卡
06900078771,M,30.0,2017-09-09 00:00:00,缤纷卡
1010010018004030,M,38.0,2009-11-28 00:00:00,缤纷卡
1010010011148031,F,33.0,2011-11-28 00:00:00,缤纷卡
1010010018048481,F,33.0,2017-08-23 00:00:00,璀璨卡
1010010018040894,F,38.0,2015-02-23 00:00:00,璀璨卡
1010010011193034,M,28.0,2015-05-03 00:00:00,缤纷卡
1010010011205245,F,28.0,2016-11-07 00:00:00,至尊卡
1010010018051576,F,34.0,2008-05-09 00:00:00,璀璨卡
1000011801500051,F,45.0,2018-01-15 16:38:54,璀璨卡
06900003355,F,34.0,2017-04-22 12:31:14,璀璨卡
1010010018018686,F,54.0,2015-09-22 00:00:00,璀璨卡
1000011804300129,F,30.0,2018-02-12 21:25:35,预享卡
1000011802600010,F,41.0,2018-01-26 11:18:29,缤纷卡
1000011816400527,F,-1.0,2018-06-13 18:35:37,预享卡
1010010011116026,F,34.0,2012-08-12 00:00:00,缤纷卡
1000011815500114,F,-1.0,2018-06-04 12:46:15,预享卡
1010010018037996,F,40.0,2016-07-22 00:00:00,璀璨卡
1010010018049889,F,32.0,2012-12-02 00:00:00,缤纷卡
6600122780,F,22.0,2016-10-04 10:54:50,璀璨卡
6000137891,F,24.0,2017-09-07 15:15:40,缤纷卡
1010010011142929,F,34.0,2013-11-19 00:00:00,缤纷卡
1010010011234275,F,33.0,2010-04-17 00:00:00,缤纷卡
1010010018030283,F,31.0,2008-05-30 00:00:00,璀璨卡
1000011808000022,F,37.0,2018-03-21 13:19:50,璀璨卡
1010010011151720,F,38.0,2015-07-12 00:00:00,缤纷卡
1010010018015770,F,30.0,2011-12-10 00:00:00,璀璨卡
1000011816700237,F,-1.0,2018-06-16 13:16:32,预享卡
1010010011192959,F,35.0,2010-03-06 00:00:00,缤纷卡
1010010011112257,F,32.0,2016-05-01 00:00:00,缤纷卡
1010010011136435,F,31.0,2016-12-31 00:00:00,缤纷卡
6600091265,F,29.0,2016-06-21 10:16:59,璀璨卡
1000011816800683,M,50.0,2018-06-17 15:41:51,缤纷卡
1000011816300320,F,-1.0,2018-06-12 15:03:35,预享卡
6600174035,F,-1.0,2017-01-01 10:45:35,缤纷卡
06900085321,M,-1.0,2017-10-30 13:07:27,预享卡
06900093211,F,23.0,2017-12-20 14:02:16,缤纷卡
1010010018024957,F,28.0,2013-02-13 00:00:00,璀璨卡
1010010011107757,F,55.0,2010-02-19 00:00:00,缤纷卡
1010010011233394,F,35.0,2008-05-19 00:00:00,缤纷卡
1000011816600169,F,-1.0,2018-06-15 13:13:20,预享卡
1010010011222279,F,37.0,2015-12-01 00:00:00,缤纷卡
1010010011235221,F,37.0,2011-07-21 00:00:00,璀璨卡
1010010011198165,F,36.0,2009-10-04 00:00:00,缤纷卡
1000011806200183,F,26.0,2018-03-03 20:52:56,预享卡
1010020011189037,F,40.0,2016-08-07 00:00:00,璀璨卡
06900014441,F,18.0,2017-05-31 19:57:20,预享卡
1010010011209793,F,-1.0,2012-02-23 00:00:00,缤纷卡
1010010018003980,F,30.0,2012-02-25 00:00:00,璀璨卡
1010010018024297,F,39.0,2013-03-17 00:00:00,璀璨卡
1010020011154123,F,44.0,2014-08-27 00:00:00,璀璨卡
1010010018016854,F,30.0,2017-03-18 00:00:00,璀璨卡
1010020011137207,F,36.0,2012-08-19 00:00:00,缤纷卡
1010010011165818,F,31.0,2014-01-15 00:00:00,缤纷卡
1010010011336586,M,-1.0,2017-05-27 00:00:00,缤纷卡
1010010011216331,F,32.0,2017-03-27 00:00:00,缤纷卡
1000011912202966,M,27.0,2019-05-02 15:02:56,璀璨卡
1000011910901932,F,23.0,2019-04-19 18:03:11,璀璨卡
1000011835401193,M,31.0,2018-12-20 16:20:04,缤纷卡
1000011913803825,F,23.0,2019-05-18 16:38:34,璀璨卡
6600085990,F,-1.0,2016-01-11 17:38:11,缤纷卡
1000011815900385,M,23.0,2018-06-08 16:15:22,璀璨卡
1000011825000290,U,24.0,2018-09-07 12:39:50,璀璨卡
1000011915803677,M,30.0,2019-06-07 17:33:44,璀璨卡
1000011911004979,F,27.0,2019-04-20 18:41:51,缤纷卡
06900078605,F,25.0,2017-09-08 00:00:00,缤纷卡
1000011818401101,F,-1.0,2018-07-03 20:59:27,预享卡
1000011908101223,F,-1.0,2019-03-22 20:52:06,预享卡
1000011812400641,U,32.0,2018-05-04 18:14:27,璀璨卡
1000011826200607,U,25.0,2018-09-19 17:03:02,璀璨卡
1010010018028662,F,31.0,2012-06-08 00:00:00,璀璨卡
6600124620,M,29.0,2016-10-18 00:00:00,缤纷卡
6000053326,M,29.0,2015-04-23 11:05:27,璀璨卡
1010020011198777,M,43.0,2016-06-19 00:00:00,璀璨卡
1000011812700036,U,-1.0,2018-05-07 09:36:59,预享卡
06900075212,F,36.0,2017-08-14 00:00:00,璀璨卡
6600084640,F,26.0,2015-12-06 00:00:00,璀璨卡
1010010018016716,F,51.0,2017-04-02 00:00:00,璀璨卡
1000011920702292,F,22.0,2019-07-26 13:16:35,璀璨卡
1000011900601146,U,-1.0,2019-01-06 14:33:53,预享卡
1010010011145602,F,29.0,2014-09-14 00:00:00,缤纷卡
06900062731,M,23.0,2017-07-09 21:37:49,缤纷卡
06900007280,F,21.0,2017-05-19 17:37:32,缤纷卡
1010010011108497,F,40.0,2008-06-14 00:00:00,缤纷卡
6600085893,F,-1.0,2016-01-09 00:00:00,缤纷卡
1000011903802301,M,41.0,2019-02-07 21:22:40,缤纷卡
1010010018029072,F,36.0,2009-05-09 00:00:00,璀璨卡
1010020011437990,F,27.0,2018-02-08 00:00:00,璀璨卡
801000080620,M,39.0,2010-09-12 00:00:00,缤纷卡
6600085019,M,-1.0,2015-12-18 20:10:16,缤纷卡
1000011814701243,F,-1.0,2018-05-27 18:10:57,预享卡
1000011801700064,M,36.0,2018-01-17 19:02:54,缤纷卡
1000011828800210,F,35.0,2018-10-15 13:41:14,缤纷卡
1010010011125807,F,31.0,2015-11-22 00:00:00,缤纷卡
1010010018032574,F,33.0,2016-07-01 00:00:00,璀璨卡
1010020011392920,F,28.0,2017-04-24 00:00:00,缤纷卡
1010010011181679,F,28.0,2015-04-01 00:00:00,缤纷卡
1010010011114946,F,30.0,2013-05-26 00:00:00,缤纷卡
1010020018053054,F,27.0,2016-06-05 00:00:00,璀璨卡
1010010018017907,F,36.0,2012-03-28 00:00:00,璀璨卡
1010010011134434,F,31.0,2016-12-11 00:00:00,缤纷卡
6900076160,M,25.0,2017-08-20 18:59:16,缤纷卡
1000011815700410,F,28.0,2018-06-06 16:53:09,缤纷卡
519009416,U,18.0,2016-12-18 20:17:20,缤纷卡
1010020011464354,M,29.0,2017-09-09 00:00:00,璀璨卡
1010010011197594,F,28.0,2011-07-05 00:00:00,缤纷卡
1000011809700160,F,28.0,2018-04-07 18:24:56,缤纷卡
1010010011132529,M,34.0,2016-11-26 00:00:00,缤纷卡
1000011915903740,M,52.0,2019-06-08 17:07:23,缤纷卡
1010010011194593,M,36.0,2015-02-20 00:00:00,缤纷卡
1010010011120588,F,29.0,2016-02-02 00:00:00,缤纷卡
1010010011141462,F,38.0,2011-06-03 00:00:00,缤纷卡
6600145970,M,37.0,2016-12-17 12:20:17,缤纷卡
1000011909701341,F,33.0,2019-04-07 14:52:51,预享卡
1010010011239862,F,52.0,2011-08-19 00:00:00,缤纷卡
1000011809600219,M,36.0,2018-04-06 19:51:29,预享卡
1010020011294812,M,36.0,2016-10-29 00:00:00,璀璨卡
1000011821400052,M,32.0,2018-08-02 10:35:23,预享卡
1000011818000838,M,30.0,2018-06-29 20:49:49,预享卡
1010010011246373,F,29.0,2013-05-05 00:00:00,缤纷卡
1000011822100218,F,49.0,2018-08-09 13:21:50,缤纷卡
1010010011108085,F,38.0,2014-09-05 00:00:00,缤纷卡
1010010018010488,F,29.0,2014-03-11 00:00:00,璀璨卡
1000011812100157,M,-1.0,2018-05-01 15:41:06,预享卡
1000011908001128,M,31.0,2019-03-21 20:18:44,璀璨卡
1022010011019076,F,25.0,2013-01-27 00:00:00,缤纷卡
1010010011111956,M,30.0,2016-06-30 00:00:00,缤纷卡
06900080058,F,29.0,2017-09-17 00:00:00,璀璨卡
1000011900603292,F,22.0,2019-01-06 20:54:32,预享卡
1010020011261653,F,22.0,2016-09-25 00:00:00,缤纷卡
1010020011225792,F,30.0,2016-10-04 00:00:00,缤纷卡
1010020018043598,F,34.0,2013-03-17 00:00:00,璀璨卡
1010010011119832,F,28.0,2016-03-24 00:00:00,缤纷卡
1010010011233859,F,24.0,2010-07-27 00:00:00,缤纷卡
1010010018036123,M,40.0,2016-10-12 00:00:00,璀璨卡
1010010018021659,F,43.0,2014-01-12 00:00:00,璀璨卡
1010010011222192,M,38.0,2015-11-28 00:00:00,缤纷卡
1010010011103814,F,31.0,2014-12-20 00:00:00,缤纷卡
1010010018018505,M,29.0,2015-03-21 00:00:00,璀璨卡
1010010011191846,F,32.0,2015-05-17 00:00:00,缤纷卡
1010010011111528,F,36.0,2016-08-22 00:00:00,缤纷卡
06900077126,F,31.0,2017-08-27 00:00:00,缤纷卡
1010010011229713,F,28.0,2015-09-17 00:00:00,缤纷卡
1000011810400238,F,49.0,2018-04-14 20:47:38,缤纷卡
1010010018025942,F,32.0,2009-12-23 00:00:00,璀璨卡
1000011817800456,F,44.0,2018-06-27 18:20:23,缤纷卡
1010010011215650,M,31.0,2017-03-18 00:00:00,缤纷卡
1010010011104062,M,31.0,2014-12-14 00:00:00,璀璨卡
1010010011336941,M,24.0,2017-04-22 00:00:00,璀璨卡
1010010011124680,F,28.0,2016-02-01 00:00:00,缤纷卡
06900074235,F,26.0,2017-08-06 00:00:00,缤纷卡
6000074577,F,-1.0,2015-07-06 00:00:00,缤纷卡
1010010011172590,F,33.0,2011-12-21 00:00:00,缤纷卡
1010020011205874,F,31.0,2015-06-09 00:00:00,璀璨卡
1010010018012060,M,38.0,2015-01-02 00:00:00,璀璨卡
1010010018015227,F,38.0,2010-10-08 00:00:00,璀璨卡
1010010011106824,F,30.0,2010-02-21 00:00:00,璀璨卡
1010010011239818,F,33.0,2014-05-06 00:00:00,缤纷卡
1010010018038988,F,35.0,2010-05-09 00:00:00,璀璨卡
1000011818700210,F,-1.0,2018-07-06 12:27:29,预享卡
1010010011219635,M,32.0,2015-12-10 00:00:00,缤纷卡
6600084180,F,-1.0,2015-11-21 00:00:00,缤纷卡
06900094008,M,25.0,2017-12-22 21:06:07,璀璨卡
1000011818801495,F,28.0,2018-07-07 18:28:25,缤纷卡
6600086213,F,40.0,2016-01-17 19:26:22,缤纷卡
1010010011138470,F,34.0,2008-12-31 00:00:00,缤纷卡
1000011817700434,F,-1.0,2018-06-26 17:56:40,预享卡
1000011802000051,M,-1.0,2018-01-20 11:17:07,预享卡
06900098106,M,-1.0,2018-02-21 14:56:00,预享卡
1010010011184352,F,32.0,2011-08-23 00:00:00,缤纷卡
1010010018016016,F,45.0,2012-06-27 00:00:00,璀璨卡
1000011811100501,M,47.0,2018-04-21 16:22:23,缤纷卡
1010010011220813,M,29.0,2016-01-07 00:00:00,缤纷卡
6600083680,F,-1.0,2015-11-01 00:00:00,至尊卡
1010010018036403,M,28.0,2017-02-12 00:00:00,璀璨卡
1010010011196673,M,30.0,2014-05-31 00:00:00,缤纷卡
6600124045,M,38.0,2016-10-13 00:00:00,缤纷卡
6600090553,F,37.0,2016-05-30 10:06:56,璀璨卡
1010010018047094,F,37.0,2008-12-19 00:00:00,璀璨卡
6600120321,F,27.0,2016-09-23 19:20:55,缤纷卡
1000011814002061,M,32.0,2018-05-20 20:47:21,缤纷卡
1000011817300905,F,-1.0,2018-06-22 21:01:06,预享卡
1010010011209537,M,35.0,2011-09-24 00:00:00,璀璨卡
1010010018036467,M,41.0,2017-02-05 00:00:00,璀璨卡
06900085466,F,58.0,2017-10-31 20:04:28,缤纷卡
06900090407,M,-1.0,2017-12-05 11:31:20,预享卡
1010010018032840,M,28.0,2016-06-14 00:00:00,璀璨卡
1010010018051250,F,26.0,2017-04-14 00:00:00,璀璨卡
6600176537,M,-1.0,2017-01-02 12:53:28,缤纷卡
1010010018002306,F,27.0,2013-02-19 00:00:00,璀璨卡
1000011811100804,M,-1.0,2018-04-21 20:46:24,缤纷卡
1010010011143016,F,33.0,2013-11-04 00:00:00,缤纷卡
1010010011173582,F,29.0,2013-12-24 00:00:00,缤纷卡
1010010011222234,F,32.0,2015-11-29 00:00:00,缤纷卡
6600227705,F,-1.0,2017-01-26 18:00:12,缤纷卡
1010010011337809,M,32.0,2017-08-10 00:00:00,璀璨卡
1010010011246518,F,55.0,2010-07-11 00:00:00,缤纷卡
1010010011123432,F,35.0,2016-01-17 00:00:00,璀璨卡
06900090441,M,29.0,2017-12-05 15:48:25,璀璨卡
1010010018050665,M,34.0,2012-04-27 00:00:00,璀璨卡
1010010011113514,M,25.0,2016-06-25 00:00:00,缤纷卡
1010010011247794,F,36.0,2010-01-06 00:00:00,缤纷卡
1010010011211704,F,34.0,2013-11-03 00:00:00,缤纷卡
1010010011113026,M,31.0,2016-04-15 00:00:00,缤纷卡
1010010011157602,F,33.0,2015-07-29 00:00:00,缤纷卡
1010010011101372,F,40.0,2015-01-02 00:00:00,缤纷卡
06900083326,F,-1.0,2017-10-14 00:00:00,璀璨卡
1010010011228325,F,29.0,2015-10-18 00:00:00,缤纷卡
6600118380,F,25.0,2016-09-18 15:29:24,缤纷卡
1010010011199542,F,41.0,2011-09-04 00:00:00,缤纷卡
06900078694,M,34.0,2017-09-08 19:41:58,缤纷卡
06900000427,M,31.0,2017-04-03 00:00:00,璀璨卡
1000011815400476,F,39.0,2018-06-03 14:33:11,缤纷卡
1010010011227083,M,47.0,2016-07-03 00:00:00,缤纷卡
06900075219,F,18.0,2017-08-14 17:25:09,预享卡
06900076610,F,18.0,2017-08-25 09:01:46,预享卡
6600145671,F,35.0,2016-12-17 00:00:00,璀璨卡
1010010011219758,F,30.0,2015-09-27 00:00:00,缤纷卡
06900006054,F,18.0,2017-05-06 13:37:47,预享卡
1010010011216724,F,33.0,2009-06-09 00:00:00,缤纷卡
1010020011197564,F,26.0,2014-05-30 00:00:00,璀璨卡
1010010011338346,F,45.0,2017-08-10 00:00:00,缤纷卡
06900023726,F,18.0,2017-06-06 13:06:18,预享卡
1010010018028777,M,34.0,2010-02-07 00:00:00,璀璨卡
6600086629,F,-1.0,2016-01-30 00:00:00,缤纷卡
1000011815900584,F,-1.0,2018-06-08 18:04:59,预享卡
1010010018016830,F,30.0,2016-03-19 00:00:00,璀璨卡
1010010011195588,F,38.0,2013-11-06 00:00:00,缤纷卡
1010020011120742,F,36.0,2012-01-03 00:00:00,璀璨卡
6600295757,F,28.0,2017-04-09 00:11:39,缤纷卡
1010010011243348,F,26.0,2011-07-03 00:00:00,缤纷卡
1010010011151434,F,37.0,2015-09-06 00:00:00,缤纷卡
1010010011339300,F,28.0,2017-08-22 00:00:00,缤纷卡
1010010018004736,F,49.0,2016-02-06 00:00:00,璀璨卡
1010010011191259,F,29.0,2015-05-01 00:00:00,璀璨卡
1010010011338677,F,35.0,2017-06-30 00:00:00,缤纷卡
1010010018000746,M,63.0,2011-06-09 00:00:00,璀璨卡
1000011816100561,F,-1.0,2018-06-10 15:12:34,预享卡
1000011811700013,M,-1.0,2018-04-27 01:05:57,预享卡
1010010011131216,F,25.0,2014-12-01 00:00:00,缤纷卡
06900073055,F,34.0,2017-07-27 00:00:00,璀璨卡
1010010011336624,F,25.0,2017-06-09 00:00:00,缤纷卡
06900094607,F,29.0,2017-12-23 21:19:55,缤纷卡
06900058248,F,27.0,2017-07-06 09:28:32,璀璨卡
06900006077,F,37.0,2017-05-06 14:53:48,缤纷卡
1010010011177204,F,29.0,2011-10-02 00:00:00,缤纷卡
1010010011235126,F,30.0,2012-01-06 00:00:00,璀璨卡
1010010018021208,F,37.0,2015-04-05 00:00:00,璀璨卡
1010010011219366,F,21.0,2015-12-05 00:00:00,璀璨卡
1010010018050166,F,34.0,2011-08-05 00:00:00,璀璨卡
1010010018052028,F,28.0,2013-08-13 00:00:00,璀璨卡
0500530317,U,17.0,2018-04-29 00:00:00,璀璨卡
1010010018048750,F,31.0,2015-10-24 00:00:00,璀璨卡
1010010018049820,F,29.0,2015-08-08 00:00:00,璀璨卡
1010010011203871,M,40.0,2009-01-17 00:00:00,缤纷卡
1000011825700432,F,-1.0,2018-09-14 12:14:07,预享卡
1010010018020384,F,49.0,2015-09-04 00:00:00,璀璨卡
1010010011164668,F,34.0,2012-12-25 00:00:00,璀璨卡
1010010018038066,M,33.0,2015-06-04 00:00:00,璀璨卡
1010010018022350,F,34.0,2010-03-02 00:00:00,璀璨卡
1010010018025425,F,36.0,2008-06-28 00:00:00,璀璨卡
1010010018001656,F,35.0,2010-02-23 00:00:00,璀璨卡
1010010011225776,F,40.0,2016-06-01 00:00:00,缤纷卡
1010010011208145,F,28.0,2016-09-10 00:00:00,缤纷卡
1010020011116530,M,39.0,2014-02-04 00:00:00,璀璨卡
1010010018005770,F,22.0,2015-08-06 00:00:00,璀璨卡
1010010011244844,F,37.0,2014-07-21 00:00:00,缤纷卡
06900000533,F,45.0,2017-05-24 00:00:00,缤纷卡
1010010011219821,F,31.0,2015-09-30 00:00:00,缤纷卡
1010010011126130,F,35.0,2015-10-26 00:00:00,缤纷卡
06900087912,F,25.0,2017-11-17 21:09:04,预享卡
1000011809100057,M,-1.0,2018-04-01 13:16:06,预享卡
1010010018002510,F,34.0,2009-04-30 00:00:00,璀璨卡
1010010011136133,F,31.0,2016-12-25 00:00:00,缤纷卡
1010010011100473,F,37.0,2015-10-31 00:00:00,缤纷卡
1010010018024012,F,30.0,2012-12-17 00:00:00,璀璨卡
1010010011237767,F,31.0,2014-04-30 00:00:00,缤纷卡
1010010011158082,F,28.0,2015-06-10 00:00:00,璀璨卡
06900092902,F,25.0,2017-12-18 16:10:45,缤纷卡
1010010018038682,M,21.0,2016-11-03 00:00:00,璀璨卡
06900097773,M,51.0,2018-01-26 13:30:21,缤纷卡
1000011806800157,M,-1.0,2018-03-09 21:07:26,预享卡
1000011809800009,F,42.0,2018-04-08 11:31:24,缤纷卡
6600129285,M,32.0,2016-11-24 04:04:47,缤纷卡
1010010018018855,F,37.0,2011-12-15 00:00:00,璀璨卡
6600083060,F,40.0,2015-10-11 16:26:37,缤纷卡
1010010011219043,F,30.0,2015-05-20 00:00:00,缤纷卡
1010010011336705,F,25.0,2017-06-20 00:00:00,缤纷卡
1010010011153577,M,41.0,2015-05-13 00:00:00,缤纷卡
1000011807500155,F,52.0,2018-03-16 19:10:29,缤纷卡
6600097185,F,26.0,2016-07-25 00:00:00,缤纷卡
06900005372,F,18.0,2017-04-30 21:00:05,预享卡
